Ac-No,Name,sTime,Verify Mod,Machine,Exception
40,40,1/21/2019 16:35,Fingerpint,2,
29,29,1/21/2019 17:01,Fingerpint,2,70109
60,60,1/21/2019 17:01,Fingerpint,2,
29,29,1/21/2019 8:08,Fingerpint,2,70109
40,40,1/21/2019 8:17,Fingerpint,2,
60,60,1/21/2019 8:29,Fingerpint,2,
40,40,1/22/2019 16:37,Fingerpint,2,
29,29,1/22/2019 17:03,Fingerpint,2,70109
61,61,1/22/2019 17:03,Fingerpint,2,
29,29,1/22/2019 7:55,Fingerpint,2,70109
61,61,1/22/2019 8:15,Fingerpint,2,
40,40,1/22/2019 8:22,Fingerpint,2,
40,40,1/23/2019 16:35,Fingerpint,2,
29,29,1/23/2019 17:00,Fingerpint,2,70109
60,60,1/23/2019 17:00,Fingerpint,2,
61,61,1/23/2019 17:00,Fingerpint,2,
29,29,1/23/2019 8:08,Fingerpint,2,70109
40,40,1/23/2019 8:14,Fingerpint,2,
61,61,1/23/2019 8:21,Fingerpint,2,
60,60,1/23/2019 8:35,Fingerpint,2,
40,40,1/24/2019 16:35,Fingerpint,2,
60,60,1/24/2019 17:00,Fingerpint,2,
60,60,1/24/2019 17:01,Fingerpint,2,
29,29,1/24/2019 17:04,Fingerpint,2,70109
61,61,1/24/2019 17:04,Fingerpint,2,
29,29,1/24/2019 7:59,Fingerpint,2,70109
40,40,1/24/2019 8:17,Fingerpint,2,
61,61,1/24/2019 8:21,Fingerpint,2,
60,60,1/24/2019 8:27,Fingerpint,2,
40,40,1/25/2019 15:14,Fingerpint,2,
21,21,1/25/2019 17:00,Fingerpint,2,
61,61,1/25/2019 17:00,Fingerpint,2,
40,40,1/25/2019 8:12,Fingerpint,2,
61,61,1/25/2019 8:19,Fingerpint,2,
29,29,1/26/2019 13:00,Fingerpint,2,70109
61,61,1/26/2019 13:00,Fingerpint,2,
29,29,1/26/2019 8:07,Fingerpint,2,70109
61,61,1/26/2019 8:14,Fingerpint,2,
40,40,1/28/2019 16:35,Fingerpint,2,
60,60,1/28/2019 17:01,Fingerpint,2,
61,61,1/28/2019 17:13,Fingerpint,2,
29,29,1/28/2019 17:14,Fingerpint,2,70109
40,40,1/28/2019 8:17,Fingerpint,2,
29,29,1/28/2019 8:23,Fingerpint,2,70109
61,61,1/28/2019 8:25,Fingerpint,2,
60,60,1/28/2019 8:28,Fingerpint,2,
61,61,1/29/2019 12:56,Fingerpint,2,
40,40,1/29/2019 16:37,Fingerpint,2,
60,60,1/29/2019 17:03,Fingerpint,2,
29,29,1/29/2019 17:04,Fingerpint,2,70109
29,29,1/29/2019 7:51,Fingerpint,2,70109
61,61,1/29/2019 8:21,Fingerpint,2,
40,40,1/29/2019 8:28,Fingerpint,2,
60,60,1/29/2019 8:29,Fingerpint,2,
40,40,1/30/2019 16:35,Fingerpint,2,
29,29,1/30/2019 17:38,Fingerpint,2,70109
60,60,1/30/2019 17:38,Fingerpint,2,
29,29,1/30/2019 7:57,Fingerpint,2,70109
40,40,1/30/2019 8:10,Fingerpint,2,
60,60,1/30/2019 8:31,Fingerpint,2,
60,60,1/31/2019 15:53,Fingerpint,2,
40,40,1/31/2019 16:35,Fingerpint,2,
29,29,1/31/2019 18:16,Fingerpint,2,70109
61,61,1/31/2019 18:16,Fingerpint,2,
29,29,1/31/2019 7:47,Fingerpint,2,70109
61,61,1/31/2019 8:15,Fingerpint,2,
40,40,1/31/2019 8:19,Fingerpint,2,
60,60,1/31/2019 8:30,Fingerpint,2,
