Ac-No,Name,sTime,Verify Mod,Machine,Exception
19,19,09/27/2018 17:25,Fingerpint,2,
29,29,09/21/2018 07:49,Fingerpint,2,70109
29,29,09/21/2018 16:57,Fingerpint,2,70109
29,29,09/25/2018 09:37,Fingerpint,2,70109
29,29,09/25/2018 17:12,Fingerpint,2,70109
29,29,09/26/2018 07:52,Fingerpint,2,70109
29,29,09/26/2018 18:25,Fingerpint,2,70109
29,29,09/27/2018 08:06,Fingerpint,2,70109
29,29,09/27/2018 17:24,Fingerpint,2,70109
29,29,09/28/2018 07:55,Fingerpint,2,70109
29,29,09/28/2018 17:48,Fingerpint,2,70109
29,29,09/29/2018 08:33,Fingerpint,2,70109
29,29,09/29/2018 15:11,Fingerpint,2,70109
29,29,10/01/2018 7:53,Fingerpint,2,70109
29,29,10/01/2018 17:52,Fingerpint,2,70109
29,29,10/02/2018 8:04,Fingerpint,2,70109
29,29,10/02/2018 17:19,Fingerpint,2,70109
29,29,10/03/2018 7:59,Fingerpint,2,70109
29,29,10/03/2018 17:33,Fingerpint,2,70109
29,29,10/04/2018 7:56,Fingerpint,2,70109
29,29,10/04/2018 17:13,Fingerpint,2,70109
29,29,10/05/2018 8:06,Fingerpint,2,70109
29,29,10/05/2018 17:56,Fingerpint,2,70109
29,29,10/06/2018 10:54,Fingerpint,2,70109
29,29,10/06/2018 13:08,Fingerpint,2,70109
29,29,10/08/2018 8:13,Fingerpint,2,70109
29,29,10/08/2018 17:06,Fingerpint,2,70109
29,29,10/12/2018 7:59,Fingerpint,2,70109
29,29,10/12/2018 17:18,Fingerpint,2,70109
29,29,10/13/2018 08:08,Fingerpint,2,70109
29,29,10/13/2018 13:36,Fingerpint,2,70109
29,29,10/15/2018 07:51,Fingerpint,2,70109
29,29,10/15/2018 17:25,Fingerpint,2,70109
29,29,10/16/2018 08:02,Fingerpint,2,70109
29,29,10/16/2018 17:06,Fingerpint,2,70109
29,29,10/17/2018 07:54,Fingerpint,2,70109
29,29,10/17/2018 17:14,Fingerpint,2,70109
29,29,10/18/2018 07:48,Fingerpint,2,70109
29,29,10/18/2018 17:40,Fingerpint,2,70109
29,29,10/19/2018 07:50,Fingerpint,2,70109
29,29,10/19/2018 17:06,Fingerpint,2,70109
29,29,10/20/2018 08:24,Fingerpint,2,70109
29,29,10/20/2018 13:29,Fingerpint,2,70109
40,40,09/21/2018 08:13,Fingerpint,2,
40,40,09/21/2018 16:37,Fingerpint,2,
40,40,09/22/2018 08:33,Fingerpint,2,
40,40,09/22/2018 13:02,Fingerpint,2,
40,40,09/25/2018 08:23,Fingerpint,2,
40,40,09/25/2018 16:36,Fingerpint,2,
40,40,09/26/2018 08:13,Fingerpint,2,
40,40,09/26/2018 16:37,Fingerpint,2,
40,40,09/27/2018 08:13,Fingerpint,2,
40,40,09/28/2018 08:20,Fingerpint,2,
40,40,09/28/2018 16:36,Fingerpint,2,
40,40,09/29/2018 08:11,Fingerpint,2,
40,40,09/29/2018 13:10,Fingerpint,2,
40,40,10/01/2018 8:20,Fingerpint,2,
40,40,10/01/2018 16:35,Fingerpint,2,
40,40,10/02/2018 8:13,Fingerpint,2,
40,40,10/02/2018 16:37,Fingerpint,2,
40,40,10/03/2018 8:15,Fingerpint,2,
40,40,10/03/2018 16:35,Fingerpint,2,
40,40,10/04/2018 8:18,Fingerpint,2,
40,40,10/04/2018 16:37,Fingerpint,2,
40,40,10/05/2018 8:13,Fingerpint,2,
40,40,10/05/2018 16:37,Fingerpint,2,
40,40,10/06/2018 8:30,Fingerpint,2,
40,40,10/06/2018 13:08,Fingerpint,2,
40,40,10/08/2018 8:27,Fingerpint,2,
40,40,10/08/2018 16:40,Fingerpint,2,
40,40,10/09/2018 8:33,Fingerpint,2,
40,40,10/09/2018 16:37,Fingerpint,2,
40,40,10/10/2018 8:19,Fingerpint,2,
40,40,10/10/2018 16:31,Fingerpint,2,
40,40,10/11/2018 8:17,Fingerpint,2,
40,40,10/11/2018 16:34,Fingerpint,2,
40,40,10/12/2018 8:18,Fingerpint,2,
40,40,10/12/2018 16:32,Fingerpint,2,
40,40,10/13/2018 08:22,Fingerpint,2,
40,40,10/13/2018 13:21,Fingerpint,2,
40,40,10/15/2018 08:27,Fingerpint,2,
40,40,10/16/2018 08:15,Fingerpint,2,
40,40,10/16/2018 16:37,Fingerpint,2,
40,40,10/17/2018 08:16,Fingerpint,2,
40,40,10/17/2018 16:37,Fingerpint,2,
40,40,10/18/2018 08:12,Fingerpint,2,
40,40,10/18/2018 16:34,Fingerpint,2,
40,40,10/19/2018 08:10,Fingerpint,2,
40,40,10/19/2018 16:38,Fingerpint,2,
60,60,09/21/2018 08:30,Fingerpint,2,
60,60,09/21/2018 17:05,Fingerpint,2,
60,60,09/25/2018 08:18,Fingerpint,2,
60,60,09/25/2018 11:03,Fingerpint,2,
60,60,09/26/2018 08:23,Fingerpint,2,
60,60,09/26/2018 17:04,Fingerpint,2,
60,60,09/27/2018 08:24,Fingerpint,2,
60,60,09/27/2018 17:24,Fingerpint,2,
60,60,09/28/2018 08:29,Fingerpint,2,
60,60,09/28/2018 17:45,Fingerpint,2,
60,60,10/01/2018 8:29,Fingerpint,2,
60,60,10/01/2018 17:52,Fingerpint,2,
60,60,10/02/2018 8:20,Fingerpint,2,
60,60,10/02/2018 17:16,Fingerpint,2,
60,60,10/03/2018 8:29,Fingerpint,2,
60,60,10/04/2018 8:30,Fingerpint,2,
60,60,10/04/2018 17:10,Fingerpint,2,
60,60,10/05/2018 8:25,Fingerpint,2,
60,60,10/05/2018 17:37,Fingerpint,2,
60,60,10/08/2018 8:20,Fingerpint,2,
60,60,10/08/2018 17:06,Fingerpint,2,
60,60,10/09/2018 8:21,Fingerpint,2,
60,60,10/09/2018 17:00,Fingerpint,2,
60,60,10/10/2018 8:28,Fingerpint,2,
60,60,10/10/2018 17:10,Fingerpint,2,
60,60,10/11/2018 8:17,Fingerpint,2,
60,60,10/11/2018 17:06,Fingerpint,2,
60,60,10/12/2018 8:29,Fingerpint,2,
60,60,10/12/2018 17:18,Fingerpint,2,
60,60,10/15/2018 08:30,Fingerpint,2,
60,60,10/15/2018 17:07,Fingerpint,2,
60,60,10/16/2018 08:08,Fingerpint,2,
60,60,10/16/2018 14:38,Fingerpint,2,
60,60,10/17/2018 08:25,Fingerpint,2,
60,60,10/17/2018 17:14,Fingerpint,2,
60,60,10/18/2018 08:32,Fingerpint,2,
60,60,10/18/2018 15:39,Fingerpint,2,
60,60,10/19/2018 08:31,Fingerpint,2,
60,60,10/19/2018 17:06,Fingerpint,2,
61,61,09/21/2018 08:12,Fingerpint,2,
61,61,09/21/2018 17:05,Fingerpint,2,
61,61,09/22/2018 08:20,Fingerpint,2,
61,61,09/22/2018 12:21,Fingerpint,2,
61,61,09/25/2018 08:23,Fingerpint,2,
61,61,09/25/2018 17:11,Fingerpint,2,
61,61,09/26/2018 08:17,Fingerpint,2,
61,61,09/26/2018 17:04,Fingerpint,2,
61,61,09/27/2018 08:18,Fingerpint,2,
61,61,09/27/2018 17:26,Fingerpint,2,
61,61,09/28/2018 08:20,Fingerpint,2,
