Ac-No,Name,sTime,Verify Mod,Machine,Exception
4,4,8/21/2018 8:36,Fingerpint,1,
4,4,8/23/2018 8:25,Fingerpint,1,
6,6,8/21/2018 8:12,Fingerpint,1,
6,6,8/22/2018 8:30,Fingerpint,1,
6,6,8/22/2018 18:04,Fingerpint,1,
6,6,8/23/2018 8:25,Fingerpint,1,
7,7,8/21/2018 8:36,Fingerpint,1,
7,7,8/22/2018 8:43,Fingerpint,1,
7,7,8/23/2018 8:29,Fingerpint,1,
9,9,8/21/2018 8:27,Fingerpint,1,
9,9,8/23/2018 8:43,Fingerpint,1,
13,13,8/21/2018 8:34,Fingerpint,1,
13,13,8/22/2018 8:24,Fingerpint,1,
13,13,8/23/2018 8:45,Fingerpint,1,
16,16,8/21/2018 8:34,Fingerpint,1,
16,16,8/22/2018 8:39,Fingerpint,1,
16,16,8/23/2018 8:41,Fingerpint,1,
24,24,8/21/2018 8:28,Fingerpint,1,
24,24,8/21/2018 17:48,Fingerpint,1,
24,24,8/22/2018 8:20,Fingerpint,1,
24,24,8/22/2018 15:42,Fingerpint,1,
25,25,8/21/2018 8:11,Fingerpint,1,13183023
25,25,8/21/2018 17:45,Fingerpint,1,13183023
25,25,8/22/2018 8:24,Fingerpint,1,13183023
25,25,8/22/2018 17:24,Fingerpint,1,13183023
27,27,8/21/2018 8:24,Fingerpint,1,
27,27,8/21/2018 17:26,Fingerpint,1,
27,27,8/22/2018 8:33,Fingerpint,1,
27,27,8/22/2018 17:42,Fingerpint,1,
27,27,8/23/2018 8:39,Fingerpint,1,
27,27,8/23/2018 17:19,Fingerpint,1,
28,28,8/21/2018 8:12,Fingerpint,1,
28,28,8/21/2018 17:34,Fingerpint,1,
28,28,8/22/2018 8:11,Fingerpint,1,
28,28,8/22/2018 18:04,Fingerpint,1,
28,28,8/23/2018 8:03,Fingerpint,1,
28,28,8/23/2018 17:34,Fingerpint,1,
30,30,8/21/2018 8:11,Fingerpint,1,
30,30,8/21/2018 17:36,Fingerpint,1,
30,30,8/22/2018 8:08,Fingerpint,1,
30,30,8/22/2018 17:32,Fingerpint,1,
30,30,8/23/2018 8:01,Fingerpint,1,
30,30,8/23/2018 17:32,Fingerpint,1,
31,31,8/21/2018 8:28,Fingerpint,1,
31,31,8/21/2018 16:10,Fingerpint,1,
31,31,8/22/2018 8:23,Fingerpint,1,
31,31,8/22/2018 16:08,Fingerpint,1,
31,31,8/23/2018 8:31,Fingerpint,1,
31,31,8/23/2018 16:10,Fingerpint,1,
33,33,8/21/2018 8:20,Fingerpint,1,
33,33,8/23/2018 8:21,Fingerpint,1,
34,34,8/21/2018 8:37,Fingerpint,1,
34,34,8/21/2018 14:20,Fingerpint,1,
34,34,8/21/2018 14:55,Fingerpint,1,
34,34,8/21/2018 17:55,Fingerpint,1,
34,34,8/23/2018 8:30,Fingerpint,1,
34,34,8/23/2018 10:08,Fingerpint,1,
34,34,8/23/2018 11:04,Fingerpint,1,
34,34,8/23/2018 17:06,Fingerpint,1,
35,35,8/21/2018 7:56,Fingerpint,1,
35,35,8/21/2018 17:26,Fingerpint,1,
35,35,8/22/2018 7:50,Fingerpint,1,
35,35,8/22/2018 17:28,Fingerpint,1,
35,35,8/23/2018 7:52,Fingerpint,1,
35,35,8/23/2018 17:23,Fingerpint,1,
36,36,8/21/2018 8:22,Fingerpint,1,
36,36,8/21/2018 17:36,Fingerpint,1,
36,36,8/22/2018 8:41,Fingerpint,1,
36,36,8/22/2018 17:32,Fingerpint,1,
36,36,8/23/2018 8:23,Fingerpint,1,
36,36,8/23/2018 17:32,Fingerpint,1,
37,37,8/21/2018 8:25,Fingerpint,1,
37,37,8/21/2018 17:08,Fingerpint,1,
37,37,8/22/2018 8:24,Fingerpint,1,
37,37,8/22/2018 17:06,Fingerpint,1,
37,37,8/23/2018 8:10,Fingerpint,1,
37,37,8/23/2018 17:06,Fingerpint,1,
38,38,8/21/2018 8:34,Fingerpint,1,
38,38,8/21/2018 17:37,Fingerpint,1,
38,38,8/22/2018 8:00,Fingerpint,1,
38,38,8/22/2018 17:51,Fingerpint,1,
38,38,8/23/2018 8:25,Fingerpint,1,
38,38,8/23/2018 17:34,Fingerpint,1,
39,39,8/21/2018 8:29,Fingerpint,1,
39,39,8/21/2018 17:40,Fingerpint,1,
39,39,8/22/2018 8:34,Fingerpint,1,
39,39,8/22/2018 18:04,Fingerpint,1,
39,39,8/23/2018 8:31,Fingerpint,1,
39,39,8/23/2018 17:34,Fingerpint,1,
41,41,8/21/2018 8:33,Fingerpint,1,
41,41,8/21/2018 18:04,Fingerpint,1,
41,41,8/22/2018 18:04,Fingerpint,1,
41,41,8/23/2018 8:24,Fingerpint,1,
41,41,8/23/2018 17:34,Fingerpint,1,
43,43,8/21/2018 8:19,Fingerpint,1,
43,43,8/21/2018 17:37,Fingerpint,1,
43,43,8/22/2018 8:27,Fingerpint,1,
43,43,8/22/2018 17:34,Fingerpint,1,
43,43,8/23/2018 8:21,Fingerpint,1,
43,43,8/23/2018 17:32,Fingerpint,1,
44,44,8/21/2018 8:26,Fingerpint,1,
44,44,8/21/2018 17:36,Fingerpint,1,
44,44,8/22/2018 8:34,Fingerpint,1,
44,44,8/22/2018 17:32,Fingerpint,1,
44,44,8/23/2018 8:40,Fingerpint,1,
44,44,8/23/2018 17:32,Fingerpint,1,
48,48,8/21/2018 8:24,Fingerpint,1,
48,48,8/21/2018 18:03,Fingerpint,1,
48,48,8/22/2018 8:34,Fingerpint,1,
48,48,8/23/2018 9:04,Fingerpint,1,
48,48,8/23/2018 17:31,Fingerpint,1,
49,49,8/21/2018 8:22,Fingerpint,1,
49,49,8/21/2018 17:55,Fingerpint,1,
49,49,8/22/2018 8:26,Fingerpint,1,
49,49,8/22/2018 17:47,Fingerpint,1,
49,49,8/23/2018 8:22,Fingerpint,1,
49,49,8/23/2018 17:31,Fingerpint,1,
50,50,8/22/2018 8:18,Fingerpint,1,
54,54,8/22/2018 8:18,Fingerpint,1,
54,54,8/23/2018 8:09,Fingerpint,1,
58,58,8/21/2018 8:18,Fingerpint,1,
58,58,8/22/2018 8:25,Fingerpint,1,
59,59,8/21/2018 7:49,Fingerpint,1,
59,59,8/21/2018 17:21,Fingerpint,1,
59,59,8/22/2018 7:50,Fingerpint,1,
59,59,8/22/2018 17:20,Fingerpint,1,
59,59,8/23/2018 7:52,Fingerpint,1,
59,59,8/23/2018 17:19,Fingerpint,1,
60,60,8/21/2018 8:17,Fingerpint,1,
60,60,8/21/2018 17:27,Fingerpint,1,
60,60,8/22/2018 8:10,Fingerpint,1,
60,60,8/22/2018 17:32,Fingerpint,1,
60,60,8/23/2018 8:06,Fingerpint,1,
60,60,8/23/2018 17:19,Fingerpint,1,
