Ac-No,Name,sTime,Verify Mod,Machine,Exception
9,9,11/21/2018 08:25,Fingerpint,2,
9,9,11/21/2018 17:34,Fingerpint,2,
9,9,11/23/2018 08:28,Fingerpint,2,
9,9,11/23/2018 19:00,Fingerpint,2,
9,9,11/24/2018 08:29,Fingerpint,2,
9,9,11/24/2018 13:01,Fingerpint,2,
9,9,11/26/2018 08:10,Fingerpint,2,
9,9,11/26/2018 17:28,Fingerpint,2,
9,9,11/27/2018 08:15,Fingerpint,2,
9,9,11/27/2018 17:55,Fingerpint,2,
9,9,11/28/2018 08:32,Fingerpint,2,
9,9,11/28/2018 17:10,Fingerpint,2,
9,9,11/29/2018 08:35,Fingerpint,2,
9,9,11/29/2018 17:30,Fingerpint,2,
9,9,11/30/2018 08:20,Fingerpint,2,
9,9,11/30/2018 18:56,Fingerpint,2,
9,9,12/01/2018 8:32,Fingerpint,2,
9,9,12/01/2018 13:22,Fingerpint,2,
9,9,12/03/2018 8:22,Fingerpint,2,
9,9,12/03/2018 17:21,Fingerpint,2,
9,9,12/04/2018 8:27,Fingerpint,2,
9,9,12/04/2018 17:19,Fingerpint,2,
9,9,12/05/2018 8:24,Fingerpint,2,
9,9,12/05/2018 17:29,Fingerpint,2,
9,9,12/06/2018 8:31,Fingerpint,2,
9,9,12/06/2018 17:06,Fingerpint,2,
9,9,12/07/2018 8:39,Fingerpint,2,
9,9,12/10/2018 8:24,Fingerpint,2,
9,9,12/10/2018 17:35,Fingerpint,2,
9,9,12/11/2018 8:14,Fingerpint,2,
9,9,12/11/2018 17:00,Fingerpint,2,
9,9,12/12/2018 8:13,Fingerpint,2,
9,9,12/12/2018 17:00,Fingerpint,2,
9,9,12/13/2018 08:30,Fingerpint,2,
9,9,12/13/2018 17:08,Fingerpint,2,
9,9,12/14/2018 08:17,Fingerpint,2,
21,21,11/23/2018 19:00,Fingerpint,2,
21,21,11/27/2018 08:16,Fingerpint,2,
21,21,11/27/2018 17:55,Fingerpint,2,
21,21,11/28/2018 17:10,Fingerpint,2,
21,21,11/29/2018 17:30,Fingerpint,2,
21,21,12/06/2018 17:07,Fingerpint,2,
29,29,11/21/2018 07:45,Fingerpint,2,70109
29,29,11/21/2018 17:16,Fingerpint,2,70109
29,29,11/23/2018 07:53,Fingerpint,2,70109
29,29,11/23/2018 17:55,Fingerpint,2,70109
29,29,11/24/2018 08:02,Fingerpint,2,70109
29,29,11/24/2018 13:01,Fingerpint,2,70109
29,29,11/26/2018 08:03,Fingerpint,2,70109
29,29,11/26/2018 17:02,Fingerpint,2,70109
29,29,11/27/2018 08:00,Fingerpint,2,70109
29,29,11/27/2018 17:55,Fingerpint,2,70109
29,29,11/28/2018 08:09,Fingerpint,2,70109
29,29,11/28/2018 17:11,Fingerpint,2,70109
29,29,11/29/2018 08:00,Fingerpint,2,70109
29,29,11/29/2018 17:32,Fingerpint,2,70109
29,29,11/30/2018 08:11,Fingerpint,2,70109
29,29,11/30/2018 18:03,Fingerpint,2,70109
29,29,12/01/2018 8:09,Fingerpint,2,70109
29,29,12/01/2018 13:22,Fingerpint,2,70109
29,29,12/03/2018 8:39,Fingerpint,2,70109
29,29,12/03/2018 17:24,Fingerpint,2,70109
29,29,12/04/2018 8:54,Fingerpint,2,70109
29,29,12/04/2018 17:20,Fingerpint,2,70109
29,29,12/05/2018 8:12,Fingerpint,2,70109
29,29,12/05/2018 17:21,Fingerpint,2,70109
29,29,12/06/2018 8:03,Fingerpint,2,70109
29,29,12/06/2018 17:07,Fingerpint,2,70109
29,29,12/07/2018 7:56,Fingerpint,2,70109
29,29,12/07/2018 17:22,Fingerpint,2,70109
29,29,12/08/2018 8:24,Fingerpint,2,70109
29,29,12/08/2018 13:08,Fingerpint,2,70109
29,29,12/10/2018 8:09,Fingerpint,2,70109
29,29,12/10/2018 17:35,Fingerpint,2,70109
29,29,12/11/2018 7:51,Fingerpint,2,70109
29,29,12/11/2018 17:04,Fingerpint,2,70109
29,29,12/12/2018 7:55,Fingerpint,2,70109
29,29,12/12/2018 17:01,Fingerpint,2,70109
29,29,12/13/2018 07:57,Fingerpint,2,70109
29,29,12/13/2018 17:10,Fingerpint,2,70109
29,29,12/14/2018 07:54,Fingerpint,2,70109
29,29,12/14/2018 17:09,Fingerpint,2,70109
29,29,12/15/2018 08:31,Fingerpint,2,70109
29,29,12/15/2018 13:08,Fingerpint,2,70109
29,29,12/17/2018 08:10,Fingerpint,2,70109
29,29,12/17/2018 17:07,Fingerpint,2,70109
29,29,12/18/2018 08:08,Fingerpint,2,70109
29,29,12/18/2018 17:13,Fingerpint,2,70109
29,29,12/19/2018 07:58,Fingerpint,2,70109
29,29,12/19/2018 17:12,Fingerpint,2,70109
29,29,12/20/2018 08:02,Fingerpint,2,70109
29,29,12/20/2018 15:39,Fingerpint,2,70109
40,40,11/21/2018 08:03,Fingerpint,2,
40,40,11/21/2018 16:57,Fingerpint,2,
40,40,11/23/2018 08:07,Fingerpint,2,
40,40,11/23/2018 16:35,Fingerpint,2,
40,40,11/24/2018 08:30,Fingerpint,2,
40,40,11/24/2018 13:01,Fingerpint,2,
40,40,11/26/2018 08:20,Fingerpint,2,
40,40,11/26/2018 16:37,Fingerpint,2,
40,40,11/27/2018 08:17,Fingerpint,2,
40,40,11/27/2018 16:37,Fingerpint,2,
40,40,11/28/2018 08:19,Fingerpint,2,
40,40,11/28/2018 16:37,Fingerpint,2,
40,40,11/29/2018 08:09,Fingerpint,2,
40,40,11/30/2018 08:24,Fingerpint,2,
40,40,11/30/2018 16:34,Fingerpint,2,
40,40,12/01/2018 8:26,Fingerpint,2,
40,40,12/01/2018 13:11,Fingerpint,2,
40,40,12/03/2018 8:19,Fingerpint,2,
40,40,12/03/2018 16:37,Fingerpint,2,
40,40,12/04/2018 8:27,Fingerpint,2,
40,40,12/04/2018 16:38,Fingerpint,2,
40,40,12/05/2018 9:02,Fingerpint,2,
40,40,12/05/2018 16:40,Fingerpint,2,
40,40,12/06/2018 8:13,Fingerpint,2,
40,40,12/06/2018 16:33,Fingerpint,2,
40,40,12/08/2018 8:44,Fingerpint,2,
40,40,12/08/2018 13:08,Fingerpint,2,
40,40,12/10/2018 8:08,Fingerpint,2,
40,40,12/10/2018 16:35,Fingerpint,2,
40,40,12/11/2018 8:03,Fingerpint,2,
40,40,12/11/2018 16:39,Fingerpint,2,
40,40,12/12/2018 8:08,Fingerpint,2,
40,40,12/12/2018 16:39,Fingerpint,2,
40,40,12/13/2018 08:05,Fingerpint,2,
40,40,12/13/2018 16:41,Fingerpint,2,
40,40,12/15/2018 08:34,Fingerpint,2,
40,40,12/15/2018 13:08,Fingerpint,2,
40,40,12/17/2018 08:10,Fingerpint,2,
40,40,12/17/2018 16:40,Fingerpint,2,
40,40,12/18/2018 16:37,Fingerpint,2,
