Ac-No,Name,sTime,Verify Mod,Machine,Exception
29,29,02/01/2019 7:47,Fingerpint,2,70109
61,61,02/01/2019 8:11,Fingerpint,2,
40,40,02/01/2019 8:12,Fingerpint,2,
40,40,02/01/2019 12:11,Fingerpint,2,
29,29,02/01/2019 17:06,Fingerpint,2,70109
61,61,02/01/2019 17:06,Fingerpint,2,
61,61,02/02/2019 8:14,Fingerpint,2,
29,29,02/02/2019 13:04,Fingerpint,2,70109
61,61,02/02/2019 13:04,Fingerpint,2,
61,61,02/05/2019 8:20,Fingerpint,2,
40,40,02/05/2019 8:24,Fingerpint,2,
60,60,02/05/2019 8:30,Fingerpint,2,
29,29,02/05/2019 10:06,Fingerpint,2,70109
40,40,02/05/2019 16:35,Fingerpint,2,
60,60,02/05/2019 17:02,Fingerpint,2,
29,29,02/05/2019 17:08,Fingerpint,2,70109
61,61,02/05/2019 17:08,Fingerpint,2,
61,61,02/06/2019 8:18,Fingerpint,2,
40,40,02/06/2019 8:19,Fingerpint,2,
60,60,02/06/2019 8:30,Fingerpint,2,
29,29,02/06/2019 8:34,Fingerpint,2,70109
40,40,02/06/2019 11:09,Fingerpint,2,
40,40,02/06/2019 13:04,Fingerpint,2,
29,29,02/06/2019 16:02,Fingerpint,2,70109
40,40,02/06/2019 16:34,Fingerpint,2,
60,60,02/06/2019 17:00,Fingerpint,2,
61,61,02/06/2019 17:00,Fingerpint,2,
61,61,02/07/2019 8:13,Fingerpint,2,
29,29,02/07/2019 8:19,Fingerpint,2,70109
40,40,02/07/2019 8:20,Fingerpint,2,
60,60,02/07/2019 8:31,Fingerpint,2,
29,29,02/07/2019 17:06,Fingerpint,2,70109
60,60,02/07/2019 17:06,Fingerpint,2,
61,61,02/07/2019 17:06,Fingerpint,2,
61,61,02/08/2019 8:19,Fingerpint,2,
29,29,02/08/2019 8:42,Fingerpint,2,70109
40,40,02/08/2019 11:53,Fingerpint,2,
61,61,02/08/2019 18:24,Fingerpint,2,
29,29,02/08/2019 18:26,Fingerpint,2,70109
