Ac-No,Name,sTime,Verify Mod,Machine,Exception
29,29,02/11/2019 8:18,Fingerpint,2,70109
61,61,02/11/2019 8:18,Fingerpint,2,
40,40,02/11/2019 8:29,Fingerpint,2,
60,60,02/11/2019 8:33,Fingerpint,2,
40,40,02/11/2019 16:37,Fingerpint,2,
60,60,02/11/2019 17:03,Fingerpint,2,
29,29,02/11/2019 17:08,Fingerpint,2,70109
61,61,02/11/2019 17:08,Fingerpint,2,
61,61,02/12/2019 8:08,Fingerpint,2,
40,40,02/12/2019 8:17,Fingerpint,2,
29,29,02/12/2019 8:56,Fingerpint,2,70109
40,40,02/12/2019 16:35,Fingerpint,2,
29,29,02/12/2019 17:10,Fingerpint,2,70109
61,61,02/12/2019 17:10,Fingerpint,2,
40,40,2/13/2019 14:14,Fingerpint,2,
40,40,2/13/2019 14:54,Fingerpint,2,
40,40,2/13/2019 16:35,Fingerpint,2,
21,21,2/13/2019 17:17,Fingerpint,2,
29,29,2/13/2019 17:21,Fingerpint,2,70109
61,61,2/13/2019 17:21,Fingerpint,2,
29,29,2/13/2019 8:33,Fingerpint,2,70109
40,40,2/13/2019 8:34,Fingerpint,2,
61,61,2/13/2019 8:34,Fingerpint,2,
29,29,2/14/2019 17:07,Fingerpint,2,70109
60,60,2/14/2019 17:07,Fingerpint,2,
61,61,2/14/2019 17:07,Fingerpint,2,
21,21,2/14/2019 7:10,Fingerpint,2,
29,29,2/14/2019 8:16,Fingerpint,2,70109
61,61,2/14/2019 8:20,Fingerpint,2,
60,60,2/14/2019 8:26,Fingerpint,2,
40,40,2/15/2019 13:07,Fingerpint,2,
12,12,2/15/2019 14:08,Fingerpint,2,
29,29,2/15/2019 17:00,Fingerpint,2,70109
60,60,2/15/2019 17:00,Fingerpint,2,
61,61,2/15/2019 17:00,Fingerpint,2,
40,40,2/15/2019 8:16,Fingerpint,2,
61,61,2/15/2019 8:20,Fingerpint,2,
60,60,2/15/2019 8:29,Fingerpint,2,
29,29,2/16/2019 13:20,Fingerpint,2,70109
61,61,2/16/2019 13:20,Fingerpint,2,
29,29,2/16/2019 9:08,Fingerpint,2,70109
61,61,2/16/2019 9:08,Fingerpint,2,
40,40,2/18/2019 10:06,Fingerpint,2,
40,40,2/18/2019 15:51,Fingerpint,2,
40,40,2/18/2019 16:36,Fingerpint,2,
29,29,2/18/2019 18:03,Fingerpint,2,70109
61,61,2/18/2019 18:03,Fingerpint,2,
29,29,2/18/2019 8:21,Fingerpint,2,70109
40,40,2/18/2019 8:22,Fingerpint,2,
61,61,2/18/2019 8:23,Fingerpint,2,
61,61,2/18/2019 8:23,Fingerpint,2,
29,29,2/20/2019 17:10,Fingerpint,2,70109
60,60,2/20/2019 17:10,Fingerpint,2,
61,61,2/20/2019 17:10,Fingerpint,2,
29,29,2/20/2019 8:18,Fingerpint,2,70109
60,60,2/20/2019 8:26,Fingerpint,2,
61,61,2/20/2019 9:15,Fingerpint,2,
