Ac-No,Name,sTime,Verify Mod,Machine,Exception
29,29,11/21/2018 07:45,Fingerpint,2,70109
40,40,11/21/2018 08:03,Fingerpint,2,
9,9,11/21/2018 08:25,Fingerpint,2,
61,61,11/21/2018 08:30,Fingerpint,2,
40,40,11/21/2018 16:57,Fingerpint,2,
29,29,11/21/2018 17:16,Fingerpint,2,70109
61,61,11/21/2018 17:16,Fingerpint,2,
9,9,11/21/2018 17:34,Fingerpint,2,
29,29,11/23/2018 07:53,Fingerpint,2,70109
40,40,11/23/2018 08:07,Fingerpint,2,
61,61,11/23/2018 08:15,Fingerpint,2,
9,9,11/23/2018 08:28,Fingerpint,2,
40,40,11/23/2018 16:35,Fingerpint,2,
61,61,11/23/2018 17:08,Fingerpint,2,
29,29,11/23/2018 17:55,Fingerpint,2,70109
9,9,11/23/2018 19:00,Fingerpint,2,
21,21,11/23/2018 19:00,Fingerpint,2,
29,29,11/24/2018 08:02,Fingerpint,2,70109
61,61,11/24/2018 08:19,Fingerpint,2,
9,9,11/24/2018 08:29,Fingerpint,2,
40,40,11/24/2018 08:30,Fingerpint,2,
9,9,11/24/2018 13:01,Fingerpint,2,
29,29,11/24/2018 13:01,Fingerpint,2,70109
40,40,11/24/2018 13:01,Fingerpint,2,
61,61,11/24/2018 13:01,Fingerpint,2,
29,29,11/26/2018 08:03,Fingerpint,2,70109
9,9,11/26/2018 08:10,Fingerpint,2,
61,61,11/26/2018 08:11,Fingerpint,2,
40,40,11/26/2018 08:20,Fingerpint,2,
60,60,11/26/2018 08:27,Fingerpint,2,
40,40,11/26/2018 16:37,Fingerpint,2,
29,29,11/26/2018 17:02,Fingerpint,2,70109
60,60,11/26/2018 17:02,Fingerpint,2,
61,61,11/26/2018 17:03,Fingerpint,2,
9,9,11/26/2018 17:28,Fingerpint,2,
29,29,11/27/2018 08:00,Fingerpint,2,70109
9,9,11/27/2018 08:15,Fingerpint,2,
21,21,11/27/2018 08:16,Fingerpint,2,
40,40,11/27/2018 08:17,Fingerpint,2,
61,61,11/27/2018 08:21,Fingerpint,2,
60,60,11/27/2018 08:22,Fingerpint,2,
40,40,11/27/2018 16:37,Fingerpint,2,
60,60,11/27/2018 17:03,Fingerpint,2,
61,61,11/27/2018 17:44,Fingerpint,2,
9,9,11/27/2018 17:55,Fingerpint,2,
21,21,11/27/2018 17:55,Fingerpint,2,
29,29,11/27/2018 17:55,Fingerpint,2,70109
29,29,11/28/2018 08:09,Fingerpint,2,70109
40,40,11/28/2018 08:19,Fingerpint,2,
61,61,11/28/2018 08:19,Fingerpint,2,
60,60,11/28/2018 08:28,Fingerpint,2,
9,9,11/28/2018 08:32,Fingerpint,2,
40,40,11/28/2018 16:37,Fingerpint,2,
60,60,11/28/2018 17:01,Fingerpint,2,
9,9,11/28/2018 17:10,Fingerpint,2,
21,21,11/28/2018 17:10,Fingerpint,2,
61,61,11/28/2018 17:10,Fingerpint,2,
29,29,11/28/2018 17:11,Fingerpint,2,70109
