Ac-No,Name,sTime,Verify Mod,Machine,Exception
29,29,12/01/2018 8:09,Fingerpint,2,70109
61,61,12/01/2018 8:22,Fingerpint,2,
40,40,12/01/2018 8:26,Fingerpint,2,
9,9,12/01/2018 8:32,Fingerpint,2,
40,40,12/01/2018 13:11,Fingerpint,2,
61,61,12/01/2018 13:21,Fingerpint,2,
9,9,12/01/2018 13:22,Fingerpint,2,
29,29,12/01/2018 13:22,Fingerpint,2,70109
60,60,12/03/2018 8:02,Fingerpint,2,
61,61,12/03/2018 8:12,Fingerpint,2,
40,40,12/03/2018 8:19,Fingerpint,2,
9,9,12/03/2018 8:22,Fingerpint,2,
29,29,12/03/2018 8:39,Fingerpint,2,70109
40,40,12/03/2018 16:37,Fingerpint,2,
61,61,12/03/2018 17:12,Fingerpint,2,
60,60,12/03/2018 17:15,Fingerpint,2,
9,9,12/03/2018 17:21,Fingerpint,2,
29,29,12/03/2018 17:24,Fingerpint,2,70109
9,9,12/04/2018 8:27,Fingerpint,2,
40,40,12/04/2018 8:27,Fingerpint,2,
61,61,12/04/2018 8:27,Fingerpint,2,
60,60,12/04/2018 8:28,Fingerpint,2,
29,29,12/04/2018 8:54,Fingerpint,2,70109
40,40,12/04/2018 16:38,Fingerpint,2,
60,60,12/04/2018 17:16,Fingerpint,2,
61,61,12/04/2018 17:17,Fingerpint,2,
9,9,12/04/2018 17:19,Fingerpint,2,
29,29,12/04/2018 17:20,Fingerpint,2,70109
29,29,12/05/2018 8:12,Fingerpint,2,70109
61,61,12/05/2018 8:12,Fingerpint,2,
60,60,12/05/2018 8:21,Fingerpint,2,
9,9,12/05/2018 8:24,Fingerpint,2,
40,40,12/05/2018 9:02,Fingerpint,2,
40,40,12/05/2018 16:40,Fingerpint,2,
60,60,12/05/2018 17:15,Fingerpint,2,
61,61,12/05/2018 17:16,Fingerpint,2,
29,29,12/05/2018 17:21,Fingerpint,2,70109
9,9,12/05/2018 17:29,Fingerpint,2,
60,60,12/06/2018 8:00,Fingerpint,2,
29,29,12/06/2018 8:03,Fingerpint,2,70109
40,40,12/06/2018 8:13,Fingerpint,2,
61,61,12/06/2018 8:23,Fingerpint,2,
9,9,12/06/2018 8:31,Fingerpint,2,
40,40,12/06/2018 16:33,Fingerpint,2,
60,60,12/06/2018 17:04,Fingerpint,2,
61,61,12/06/2018 17:05,Fingerpint,2,
9,9,12/06/2018 17:06,Fingerpint,2,
21,21,12/06/2018 17:07,Fingerpint,2,
29,29,12/06/2018 17:07,Fingerpint,2,70109
29,29,11/29/2018 08:00,Fingerpint,2,70109
40,40,11/29/2018 08:09,Fingerpint,2,
61,61,11/29/2018 08:18,Fingerpint,2,
60,60,11/29/2018 08:24,Fingerpint,2,
9,9,11/29/2018 08:35,Fingerpint,2,
60,60,11/29/2018 17:07,Fingerpint,2,
61,61,11/29/2018 17:25,Fingerpint,2,
9,9,11/29/2018 17:30,Fingerpint,2,
21,21,11/29/2018 17:30,Fingerpint,2,
29,29,11/29/2018 17:32,Fingerpint,2,70109
29,29,11/30/2018 08:11,Fingerpint,2,70109
61,61,11/30/2018 08:11,Fingerpint,2,
9,9,11/30/2018 08:20,Fingerpint,2,
40,40,11/30/2018 08:24,Fingerpint,2,
60,60,11/30/2018 08:25,Fingerpint,2,
40,40,11/30/2018 16:34,Fingerpint,2,
60,60,11/30/2018 17:36,Fingerpint,2,
61,61,11/30/2018 18:02,Fingerpint,2,
29,29,11/30/2018 18:03,Fingerpint,2,70109
9,9,11/30/2018 18:56,Fingerpint,2,
