Ac-No,Name,sTime,Verify Mod,Machine,Exception
29,29,12/14/2018 07:54,Fingerpint,2,70109
60,60,12/14/2018 07:56,Fingerpint,2,
9,9,12/14/2018 08:17,Fingerpint,2,
61,61,12/14/2018 08:19,Fingerpint,2,
29,29,12/14/2018 17:09,Fingerpint,2,70109
60,60,12/14/2018 17:09,Fingerpint,2,
61,61,12/14/2018 17:09,Fingerpint,2,
29,29,12/15/2018 08:31,Fingerpint,2,70109
40,40,12/15/2018 08:34,Fingerpint,2,
29,29,12/15/2018 13:08,Fingerpint,2,70109
40,40,12/15/2018 13:08,Fingerpint,2,
29,29,12/17/2018 08:10,Fingerpint,2,70109
40,40,12/17/2018 08:10,Fingerpint,2,
61,61,12/17/2018 08:15,Fingerpint,2,
40,40,12/17/2018 16:40,Fingerpint,2,
29,29,12/17/2018 17:07,Fingerpint,2,70109
61,61,12/17/2018 17:07,Fingerpint,2,
29,29,12/18/2018 08:08,Fingerpint,2,70109
61,61,12/18/2018 08:14,Fingerpint,2,
60,60,12/18/2018 08:32,Fingerpint,2,
40,40,12/18/2018 16:37,Fingerpint,2,
29,29,12/18/2018 17:13,Fingerpint,2,70109
60,60,12/18/2018 17:13,Fingerpint,2,
61,61,12/18/2018 17:13,Fingerpint,2,
29,29,12/19/2018 07:58,Fingerpint,2,70109
40,40,12/19/2018 08:10,Fingerpint,2,
61,61,12/19/2018 08:16,Fingerpint,2,
60,60,12/19/2018 08:31,Fingerpint,2,
40,40,12/19/2018 16:36,Fingerpint,2,
60,60,12/19/2018 17:01,Fingerpint,2,
29,29,12/19/2018 17:12,Fingerpint,2,70109
61,61,12/19/2018 17:12,Fingerpint,2,
29,29,12/20/2018 08:02,Fingerpint,2,70109
40,40,12/20/2018 08:05,Fingerpint,2,
60,60,12/20/2018 08:19,Fingerpint,2,
61,61,12/20/2018 08:22,Fingerpint,2,
29,29,12/20/2018 15:39,Fingerpint,2,70109
40,40,12/20/2018 16:38,Fingerpint,2,
60,60,12/20/2018 17:00,Fingerpint,2,
61,61,12/20/2018 17:00,Fingerpint,2,
